word,class
circuler,"En cours"
se déplacer,"En cours"
conduire,"En cours"
rouler,"En cours"
marcher,"En cours"
se diriger,"En cours"
retourner,"En cours"
venir voir,"En cours"
partir,"En cours"
aller,"En cours"
courrir,"En cours"
ramper,"En cours"
pédaler,"En cours"
entrer,"En cours"
se rendre,"En cours"
sortir,"En cours"
rester,"En cours"
bouger,"En cours"
galoper,"En cours"
foncer,"En cours"
filer,"En cours"
traîner,"En cours"
avancer,"En cours"
reculer,"En cours"
dévaler,"En cours"
descendre,"En cours"
monter,"En cours"
se échapper,"En cours"
se enfuir,"En cours"
se sauver,"En cours"
voyager,"En cours"
transporter,"En cours"
déplacer,"En cours"
rentrer,"En cours"
naviguer,"En cours"
