Entity,http://www.w3.org/2008/05/skos#altLabel,http://www.w3.org/2008/05/skos#prefLabel,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2008/05/skos#altLabel,http://www.w3.org/2008/05/skos#prefLabel,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#action,,,,"'action'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#aller_en_ville,,,"'faire du shopping'","'aller en ville'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#arrêt,,,"'stop'","'arrêt'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#arrêt_de_bus,,,,"'arrêt de bus'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#arrêt_de_tramway,,,"'arrêt de tram'","'arrêt de tramway'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#autoroute,,,"'voie rapide'","'autoroute'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#autostop,,,"'faire du stop'","'autostop'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#avion,,,"'jet'","'avion'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#aérien,,,,"'aérien'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#aéroport,,,,"'aéroport'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#aéroport_de_paris,,,"'ADP'	'A.D.P.'","'aéroport de paris'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#bateau,,,"'péniche'","'bateau'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#bioéthanol,,,"'E100'	'E15'	'E10'	'E20'	'E85'	'E7'	'E95'	'E5'	'E70'","'bioéthanol'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#blablacar,,,,"'blablacar'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#bus,,,"'autobus'	'navette'","'bus'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#bus_de_ville,,,,"'bus de ville'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#camion,,,"'semi-remorque'	'poids lourd'","'camion'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#canal,,,"'chenal'","'canal'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#circuit,,,,"'circuit'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#client,,,,"'client'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#collectif,,,,"'collectif'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#conducteur,,,"'chauffeur'","'conducteur'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#covoiturage,,,"'covoit'	'co-voit''","'covoiturage'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#diesel,,,"'B7'","'diesel'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#déplacement,,,,"'déplacement'",,,
